SN,Pradesh_No,Pradesh Name,Office Type,Office Name,Employee Type,ID Range Start,ID Range End,ID Used Upto
44,1,Koshi,DCS Office,Solukhumbu DCS,Myadi,61001401,61001500,NULL
45,1,Koshi,DCS Office,Solukhumbu DCS,Jyaladari,51002801,51003000,NULL
46,1,Koshi,DCS Office,Okhaldhunga DCS,Karar,71001501,71001600,NULL
47,1,Koshi,DCS Office,Okhaldhunga DCS,Myadi,61001501,61001600,NULL
48,1,Koshi,DCS Office,Okhaldhunga DCS,Jyaladari,51003001,51003200,NULL
49,1,Koshi,DCS Office,Udaypur DCS,Karar,71001601,71001700,NULL
50,1,Koshi,DCS Office,Udaypur DCS,Myadi,61001601,61001700,NULL
51,1,Koshi,DCS Office,Udaypur DCS,Jyaladari,51003201,51003400,NULL
52,1,Koshi,DCS Office,BelTar SDC,Karar,71001701,71001800,NULL
53,1,Koshi,DCS Office,BelTar SDC,Myadi,61001701,61001800,NULL
54,1,Koshi,DCS Office,BelTar SDC,Jyaladari,51003401,51003600,NULL
55,1,Koshi,DCS Office,Katari SDC,Karar,71001801,71001900,NULL
56,1,Koshi,DCS Office,Katari SDC,Myadi,61001801,61001900,NULL
57,1,Koshi,DCS Office,Katari SDC,Jyaladari,51003601,51003800,NULL
58,1,Koshi,DCS Office,Dhulabari DCS,Karar,71001901,71002000,NULL
59,1,Koshi,DCS Office,Dhulabari DCS,Myadi,61001901,61002000,NULL
60,1,Koshi,DCS Office,Dhulabari DCS,Jyaladari,51003801,51004000,51003820
61,1,Koshi,DCS Office,Budhabare SDC,Karar,71002001,71002100,NULL
62,1,Koshi,DCS Office,Budhabare SDC,Myadi,61002001,61002100,NULL
63,1,Koshi,DCS Office,Budhabare SDC,Jyaladari,51004001,51004200,NULL
64,1,Koshi,DCS Office,Bhadrapur DCS,Karar,71002101,71002200,NULL
65,1,Koshi,DCS Office,Bhadrapur DCS,Myadi,61002101,61002200,NULL
66,1,Koshi,DCS Office,Bhadrapur DCS,Jyaladari,51004201,51004400,51004218
67,1,Koshi,DCS Office,Anarmani DCS,Karar,71002201,71002300,NULL
68,1,Koshi,DCS Office,Anarmani DCS,Myadi,61002201,61002300,NULL
69,1,Koshi,DCS Office,Anarmani DCS,Jyaladari,51004401,51004600,51004438
70,1,Koshi,DCS Office,Sanischare SDC,Karar,71002301,71002400,NULL
71,1,Koshi,DCS Office,Sanischare SDC,Myadi,61002301,61002400,NULL
72,1,Koshi,DCS Office,Sanischare SDC,Jyaladari,51004601,51004800,NULL
73,1,Koshi,DCS Office,Surunga SDC,Karar,71002401,71002500,NULL
74,1,Koshi,DCS Office,Surunga SDC,Myadi,61002401,61002500,NULL
75,1,Koshi,DCS Office,Surunga SDC,Jyaladari,51004801,51005000,NULL
76,1,Koshi,DCS Office,Damak DCS,Karar,71002501,71002600,NULL
77,1,Koshi,DCS Office,Damak DCS,Myadi,61002501,61002600,NULL
78,1,Koshi,DCS Office,Damak DCS,Jyaladari,51005001,51005200,51005010
79,1,Koshi,DCS Office,Gauradah DCS,Karar,71002601,71002700,NULL
80,1,Koshi,DCS Office,Gauradah DCS,Myadi,61002601,61002700,NULL
81,1,Koshi,DCS Office,Gauradah DCS,Jyaladari,51005201,51005400,51005206
82,1,Koshi,DCS Office,Rangeli DCS,Karar,71002701,71002800,NULL
83,1,Koshi,DCS Office,Rangeli DCS,Myadi,61002701,61002800,NULL
84,1,Koshi,DCS Office,Rangeli DCS,Jyaladari,51005401,51005600,51005425
85,1,Koshi,DCS Office,Urlabari DCS,Karar,71002801,71002900,NULL
86,1,Koshi,DCS Office,Urlabari DCS,Myadi,61002801,61002900,NULL
87,1,Koshi,DCS Office,Urlabari DCS,Jyaladari,51005601,51005800,51005611
88,1,Koshi,DCS Office,Belbari DCS,Karar,71002901,71003000,NULL
89,1,Koshi,DCS Office,Belbari DCS,Myadi,61002901,61003000,NULL
90,1,Koshi,DCS Office,Belbari DCS,Jyaladari,51005801,51006000,51005819
91,1,Koshi,DCS Office,Biratnagar DCS,Karar,71003001,71003100,NULL
92,1,Koshi,DCS Office,Biratnagar DCS,Myadi,61003001,61003100,NULL
93,1,Koshi,DCS Office,Biratnagar DCS,Jyaladari,51006001,51006200,51006020
94,1,Koshi,DCS Office,Rani SDC,Karar,71003101,71003200,NULL
95,1,Koshi,DCS Office,Rani SDC,Myadi,61003101,61003200,NULL
96,1,Koshi,DCS Office,Rani SDC,Jyaladari,51006201,51006400,NULL
97,1,Koshi,DCS Office,Duhabi DCS,Karar,71003201,71003300,NULL
98,1,Koshi,DCS Office,Duhabi DCS,Myadi,61003201,61003300,NULL
99,1,Koshi,DCS Office,Duhabi DCS,Jyaladari,51006401,51006600,51006407
100,1,Koshi,DCS Office,Inaruwa DCS,Karar,71003301,71003400,NULL
101,1,Koshi,DCS Office,Inaruwa DCS,Myadi,61003301,61003400,NULL
102,1,Koshi,DCS Office,Inaruwa DCS,Jyaladari,51006601,51006800,51006616
103,1,Koshi,DCS Office,Itahari DCS,Karar,71003401,71003500,NULL
104,1,Koshi,DCS Office,Itahari DCS,Myadi,61003401,61003500,NULL
105,1,Koshi,DCS Office,Itahari DCS,Jyaladari,51006801,51007000,NULL
106,1,Koshi,DCS Office,Dharan DCS,Karar,71003501,71003600,NULL
107,1,Koshi,DCS Office,Dharan DCS,Myadi,61003501,61003600,NULL
108,1,Koshi,DCS Office,Dharan DCS,Jyaladari,51007001,51007200,NULL
109,1,Koshi,Generation,NULL,Karar,71010000,NULL,NULL
110,1,Koshi,Generation,NULL,Myadi,61010000,NULL,NULL
111,1,Koshi,Generation,NULL,Jyaladari,51010000,NULL,NULL
112,1,Koshi,Transmission,NULL,Karar,71020000,NULL,NULL
113,1,Koshi,Transmission,NULL,Myadi,61020000,NULL,NULL
114,1,Koshi,Transmission,NULL,Jyaladari,51020000,NULL,51020021
115,2,Madhesh,DCS Office,Janakpur RO,Karar,72000001,72000100,NULL
116,2,Madhesh,DCS Office,Janakpur RO,Myadi,62000001,62000100,NULL
117,2,Madhesh,DCS Office,Janakpur RO,Jyaladari,52000001,52000200,52000003
118,2,Madhesh,DCS Office,Kanchanpur DCS,Karar,72000101,72000200,NULL
119,2,Madhesh,DCS Office,Kanchanpur DCS,Myadi,62000101,62000200,NULL
120,2,Madhesh,DCS Office,Kanchanpur DCS,Jyaladari,52000201,52000400,52000213
121,2,Madhesh,DCS Office,Rajbiraj DCS,Karar,72000201,72000300,NULL
122,2,Madhesh,DCS Office,Rajbiraj DCS,Myadi,62000201,62000300,NULL
123,2,Madhesh,DCS Office,Rajbiraj DCS,Jyaladari,52000401,52000600,NULL
124,2,Madhesh,DCS Office,Hanuman Nagar SDC,Karar,72000301,72000400,NULL
125,2,Madhesh,DCS Office,Hanuman Nagar SDC,Myadi,62000301,62000400,NULL
126,2,Madhesh,DCS Office,Hanuman Nagar SDC,Jyaladari,52000601,52000800,NULL
127,2,Madhesh,DCS Office,Bodebarsain DCS,Karar,72000401,72000500,NULL
128,2,Madhesh,DCS Office,Bodebarsain DCS,Myadi,62000401,62000500,NULL
129,2,Madhesh,DCS Office,Bodebarsain DCS,Jyaladari,52000801,52001000,52000801
130,2,Madhesh,DCS Office,Lahan DCS,Karar,72000501,72000600,NULL
131,2,Madhesh,DCS Office,Lahan DCS,Myadi,62000501,62000600,NULL
132,2,Madhesh,DCS Office,Lahan DCS,Jyaladari,52001001,52001200,52001021
133,2,Madhesh,DCS Office,Mirchaiya DCS,Karar,72000601,72000700,NULL
134,2,Madhesh,DCS Office,Mirchaiya DCS,Myadi,62000601,62000700,NULL
135,2,Madhesh,DCS Office,Mirchaiya DCS,Jyaladari,52001201,52001400,52001229
136,2,Madhesh,DCS Office,Siraha DCS,Karar,72000701,72000800,NULL
137,2,Madhesh,DCS Office,Siraha DCS,Myadi,62000701,62000800,NULL
138,2,Madhesh,DCS Office,Siraha DCS,Jyaladari,52001401,52001600,52001403
139,2,Madhesh,DCS Office,Yedukuwa DCS,Karar,72000801,72000900,NULL
140,2,Madhesh,DCS Office,Yedukuwa DCS,Myadi,62000801,62000900,NULL
141,2,Madhesh,DCS Office,Yedukuwa DCS,Jyaladari,52001601,52001800,52001610
142,2,Madhesh,DCS Office,Janakpur DCS,Karar,72000901,72001000,NULL
143,2,Madhesh,DCS Office,Janakpur DCS,Myadi,62000901,62001000,NULL
144,2,Madhesh,DCS Office,Janakpur DCS,Jyaladari,52001801,52002000,52001824
145,2,Madhesh,DCS Office,DhanushaDham DCS,Karar,72001001,72001100,NULL
146,2,Madhesh,DCS Office,DhanushaDham DCS,Myadi,62001001,62001100,NULL
147,2,Madhesh,DCS Office,DhanushaDham DCS,Jyaladari,52002001,52002200,52002002
148,2,Madhesh,DCS Office,Sakhuwa DCS,Karar,72001101,72001200,NULL
149,2,Madhesh,DCS Office,Sakhuwa DCS,Myadi,62001101,62001200,NULL
150,2,Madhesh,DCS Office,Sakhuwa DCS,Jyaladari,52002201,52002400,52002210
151,2,Madhesh,DCS Office,Gaushala DCS,Karar,72001201,72001300,NULL
152,2,Madhesh,DCS Office,Gaushala DCS,Myadi,62001201,62001300,NULL
153,2,Madhesh,DCS Office,Gaushala DCS,Jyaladari,52002401,52002600,52002431
154,2,Madhesh,DCS Office,Bardibash SDC,Karar,72001301,72001400,NULL
155,2,Madhesh,DCS Office,Bardibash SDC,Myadi,62001301,62001400,NULL
156,2,Madhesh,DCS Office,Bardibash SDC,Jyaladari,52002601,52002800,NULL
157,2,Madhesh,DCS Office,Jalaeshor DCS,Karar,72001401,72001500,NULL
158,2,Madhesh,DCS Office,Jalaeshor DCS,Myadi,62001401,62001500,NULL
159,2,Madhesh,DCS Office,Jalaeshor DCS,Jyaladari,52002801,52003000,52002824
160,2,Madhesh,DCS Office,Barahthawa DCS,Karar,72001501,72001600,NULL
161,2,Madhesh,DCS Office,Barahthawa DCS,Myadi,62001501,62001600,NULL
162,2,Madhesh,DCS Office,Barahthawa DCS,Jyaladari,52003001,52003200,52003013
163,2,Madhesh,DCS Office,Malangwa DCS,Karar,72001601,72001700,NULL
164,2,Madhesh,DCS Office,Malangwa DCS,Myadi,62001601,62001700,NULL
165,2,Madhesh,DCS Office,Malangwa DCS,Jyaladari,52003201,52003400,52003234
166,2,Madhesh,DCS Office,Lalbandi DCS,Karar,72001701,72001800,NULL
167,2,Madhesh,DCS Office,Lalbandi DCS,Myadi,62001701,62001800,NULL
168,2,Madhesh,DCS Office,Lalbandi DCS,Jyaladari,52003401,52003600,52003437
169,2,Madhesh,DCS Office,Chandranigapur DCS,Karar,72001801,72001900,NULL
170,2,Madhesh,DCS Office,Chandranigapur DCS,Myadi,62001801,62001900,NULL
171,2,Madhesh,DCS Office,Chandranigapur DCS,Jyaladari,52003601,52003800,52003620
172,2,Madhesh,DCS Office,Maulapur DCS,Karar,72001901,72002000,NULL
173,2,Madhesh,DCS Office,Maulapur DCS,Myadi,62001901,62002000,NULL
174,2,Madhesh,DCS Office,Maulapur DCS,Jyaladari,52003801,52004000,52003806
175,2,Madhesh,DCS Office,Gaur DCS,Karar,72002001,72002100,NULL
176,2,Madhesh,DCS Office,Gaur DCS,Myadi,62002001,62002100,NULL
177,2,Madhesh,DCS Office,Gaur DCS,Jyaladari,52004001,52004200,52004048
178,2,Madhesh,DCS Office,Simrongadh DCS,Karar,72002101,72002200,NULL
179,2,Madhesh,DCS Office,Simrongadh DCS,Myadi,62002101,62002200,NULL
180,2,Madhesh,DCS Office,Simrongadh DCS,Jyaladari,52004201,52004400,NULL
181,2,Madhesh,DCS Office,Kalaiya DCS,Karar,72002201,72002300,NULL
182,2,Madhesh,DCS Office,Kalaiya DCS,Myadi,62002201,62002300,NULL
183,2,Madhesh,DCS Office,Kalaiya DCS,Jyaladari,52004401,52004600,52004422
184,2,Madhesh,DCS Office,Birgunj DCS,Karar,72002301,72002400,NULL
185,2,Madhesh,DCS Office,Birgunj DCS,Myadi,62002301,62002400,NULL
186,2,Madhesh,DCS Office,Birgunj DCS,Jyaladari,52004601,52004800,52004610
187,2,Madhesh,DCS Office,Pokhariya DCS,Karar,72002401,72002500,NULL
188,2,Madhesh,DCS Office,Pokhariya DCS,Myadi,62002401,62002500,NULL
189,2,Madhesh,DCS Office,Pokhariya DCS,Jyaladari,52004801,52005000,NULL
190,2,Madhesh,DCS Office,Simara DCS,Karar,72002501,72002600,NULL
191,2,Madhesh,DCS Office,Simara DCS,Myadi,62002501,62002600,NULL
192,2,Madhesh,DCS Office,Simara DCS,Jyaladari,52005001,52005200,52005015
193,2,Madhesh,DCS Office,Nijgadh SDC,Karar,72002601,72002700,NULL
194,2,Madhesh,DCS Office,Nijgadh SDC,Myadi,62002601,62002700,NULL
195,2,Madhesh,DCS Office,Nijgadh SDC,Jyaladari,52005201,52005400,NULL
196,2,Madhesh,Generation,NULL,Karar,72010000,NULL,NULL
197,2,Madhesh,Generation,NULL,Myadi,62010000,NULL,NULL
198,2,Madhesh,Generation,NULL,Jyaladari,52010000,NULL,NULL
199,2,Madhesh,Transmission,NULL,Karar,72020000,NULL,NULL
200,2,Madhesh,Transmission,NULL,Myadi,62020000,NULL,NULL
201,2,Madhesh,Transmission,NULL,Jyaladari,52020000,NULL,52020018
202,2,Madhesh,Engineering,NULL,Karar,72030000,NULL,NULL
203,2,Madhesh,Engineering,NULL,Myadi,62030000,NULL,NULL
204,2,Madhesh,Engineering,NULL,Jyaladari,52030001,NULL,52030049
205,3,Bagmati,DCS Office,kathmandu RO,Karar,73000001,73000100,73008701
206,3,Bagmati,DCS Office,kathmandu RO,Myadi,63000001,63000100,NULL
207,3,Bagmati,DCS Office,kathmandu RO,Jyaladari,53000001,53000200,NULL
208,3,Bagmati,DCS Office,Dolakah DCS,Karar,73000101,73000200,73008701
209,3,Bagmati,DCS Office,Dolakah DCS,Myadi,63000101,63000200,NULL
210,3,Bagmati,DCS Office,Dolakah DCS,Jyaladari,53000201,53000400,NULL
211,3,Bagmati,DCS Office,Jiri SDC,Karar,73000201,73000300,73008701
212,3,Bagmati,DCS Office,Jiri SDC,Myadi,63000201,63000300,NULL
213,3,Bagmati,DCS Office,Jiri SDC,Jyaladari,53000401,53000600,NULL
214,3,Bagmati,DCS Office,Mainapokhari SDC,Karar,73000301,73000400,73008701
215,3,Bagmati,DCS Office,Mainapokhari SDC,Myadi,63000301,63000400,NULL
216,3,Bagmati,DCS Office,Mainapokhari SDC,Jyaladari,53000601,53000800,NULL
217,3,Bagmati,DCS Office,Kharidhunga SDC,Karar,73000401,73000500,73008701
218,3,Bagmati,DCS Office,Kharidhunga SDC,Myadi,63000401,63000500,NULL
219,3,Bagmati,DCS Office,Kharidhunga SDC,Jyaladari,53000801,53001000,NULL
220,3,Bagmati,DCS Office,Rameschap DCS(Manthali),Karar,73000501,73000600,73008701
221,3,Bagmati,DCS Office,Rameschap DCS(Manthali),Myadi,63000501,63000600,NULL
222,3,Bagmati,DCS Office,Rameschap DCS(Manthali),Jyaladari,53001001,53001200,53001035
223,3,Bagmati,DCS Office,Ramechap SDC,Karar,73000601,73000700,73008701
224,3,Bagmati,DCS Office,Ramechap SDC,Myadi,63000601,63000700,NULL
225,3,Bagmati,DCS Office,Ramechap SDC,Jyaladari,53001201,53001400,NULL
226,3,Bagmati,DCS Office,Panchkhal DCS,Karar,73000701,73000800,73008701
227,3,Bagmati,DCS Office,Panchkhal DCS,Myadi,63000701,63000800,NULL
228,3,Bagmati,DCS Office,Panchkhal DCS,Jyaladari,53001401,53001600,NULL
229,3,Bagmati,DCS Office,Kavre DCs,Karar,73000801,73000900,73008701
230,3,Bagmati,DCS Office,Kavre DCs,Myadi,63000801,63000900,NULL
231,3,Bagmati,DCS Office,Kavre DCs,Jyaladari,53001601,53001800,53001603
232,3,Bagmati,DCS Office,Panauti SDC,Karar,73000901,73001000,73008701
233,3,Bagmati,DCS Office,Panauti SDC,Myadi,63000901,63001000,NULL
234,3,Bagmati,DCS Office,Panauti SDC,Jyaladari,53001801,53002000,NULL
235,3,Bagmati,DCS Office,Sindhupalchowk DCS,Karar,73001001,73001100,73008701
236,3,Bagmati,DCS Office,Sindhupalchowk DCS,Myadi,63001001,63001100,NULL
237,3,Bagmati,DCS Office,Sindhupalchowk DCS,Jyaladari,53002001,53002200,NULL
238,3,Bagmati,DCS Office,Barhbise SDC,Karar,73001101,73001200,73008701
239,3,Bagmati,DCS Office,Barhbise SDC,Myadi,63001101,63001200,NULL
240,3,Bagmati,DCS Office,Barhbise SDC,Jyaladari,53002201,53002400,NULL
241,3,Bagmati,DCS Office,Chautara SDC,Karar,73001201,73001300,73008701
242,3,Bagmati,DCS Office,Chautara SDC,Myadi,63001201,63001300,NULL
243,3,Bagmati,DCS Office,Chautara SDC,Jyaladari,53002401,53002600,NULL
244,3,Bagmati,DCS Office,Melamchi DCS,Karar,73001301,73001400,73008701
245,3,Bagmati,DCS Office,Melamchi DCS,Myadi,63001301,63001400,NULL
246,3,Bagmati,DCS Office,Melamchi DCS,Jyaladari,53002601,53002800,NULL
247,3,Bagmati,DCS Office,Dhunche DCS,Karar,73001401,73001500,73008701
248,3,Bagmati,DCS Office,Dhunche DCS,Myadi,63001401,63001500,63001401
249,3,Bagmati,DCS Office,Dhunche DCS,Jyaladari,53002801,53003000,NULL
250,3,Bagmati,DCS Office,Nuwakot DCS,Karar,73001501,73001600,73008701
251,3,Bagmati,DCS Office,Nuwakot DCS,Myadi,63001501,63001600,NULL
252,3,Bagmati,DCS Office,Nuwakot DCS,Jyaladari,53003001,53003200,53003001
253,3,Bagmati,DCS Office,Dhading DCS,Karar,73001601,73001700,73008701
254,3,Bagmati,DCS Office,Dhading DCS,Myadi,63001601,63001700,NULL
255,3,Bagmati,DCS Office,Dhading DCS,Jyaladari,53003201,53003400,53003230
256,3,Bagmati,DCS Office,gajuri SDC,Karar,73001701,73001800,73008701
257,3,Bagmati,DCS Office,gajuri SDC,Myadi,63001701,63001800,NULL
258,3,Bagmati,DCS Office,gajuri SDC,Jyaladari,53003401,53003600,NULL
259,3,Bagmati,DCS Office,Dharke SDC,Karar,73001801,73001900,73008701
260,3,Bagmati,DCS Office,Dharke SDC,Myadi,63001801,63001900,NULL
261,3,Bagmati,DCS Office,Dharke SDC,Jyaladari,53003601,53003800,NULL
262,3,Bagmati,DCS Office,Bhaktapur DCS,Karar,73001901,73002000,73008701
263,3,Bagmati,DCS Office,Bhaktapur DCS,Myadi,63001901,63002000,63001901
264,3,Bagmati,DCS Office,Bhaktapur DCS,Jyaladari,53003801,53004000,53003807
265,3,Bagmati,DCS Office,Thimi DCS,Karar,73002001,73002100,73008701
266,3,Bagmati,DCS Office,Thimi DCS,Myadi,63002001,63002100,NULL
267,3,Bagmati,DCS Office,Thimi DCS,Jyaladari,53004001,53004200,NULL
268,3,Bagmati,DCS Office,Lagankhel DCS,Karar,73002101,73002200,73008701
269,3,Bagmati,DCS Office,Lagankhel DCS,Myadi,63002101,63002200,NULL
270,3,Bagmati,DCS Office,Lagankhel DCS,Jyaladari,53004201,53004400,NULL
271,3,Bagmati,DCS Office,Chapagaun SDC,Karar,73002201,73002300,73008701
272,3,Bagmati,DCS Office,Chapagaun SDC,Myadi,63002201,63002300,NULL
273,3,Bagmati,DCS Office,Chapagaun SDC,Jyaladari,53004401,53004600,NULL
274,3,Bagmati,DCS Office,Lubhu SDC,Karar,73002301,73002400,73008701
275,3,Bagmati,DCS Office,Lubhu SDC,Myadi,63002301,63002400,NULL
276,3,Bagmati,DCS Office,Lubhu SDC,Jyaladari,53004601,53004800,NULL
277,3,Bagmati,DCS Office,Badegaun SDC,Karar,73002401,73002500,73008701
278,3,Bagmati,DCS Office,Badegaun SDC,Myadi,63002401,63002500,NULL
279,3,Bagmati,DCS Office,Badegaun SDC,Jyaladari,53004801,53005000,NULL
280,3,Bagmati,DCS Office,Pulchwk DCS,Karar,73002501,73002600,73008701
281,3,Bagmati,DCS Office,Pulchwk DCS,Myadi,63002501,63002600,NULL
282,3,Bagmati,DCS Office,Pulchwk DCS,Jyaladari,53005001,53005200,NULL
283,3,Bagmati,DCS Office,Ratnapark DCS,Karar,73002601,73002700,73008701
284,3,Bagmati,DCS Office,Ratnapark DCS,Myadi,63002601,63002700,63002601
285,3,Bagmati,DCS Office,Ratnapark DCS,Jyaladari,53005201,53005400,NULL
286,3,Bagmati,DCS Office,Naxal SDC,Karar,73002701,73002800,73008701
287,3,Bagmati,DCS Office,Naxal SDC,Myadi,63002701,63002800,NULL
288,3,Bagmati,DCS Office,Naxal SDC,Jyaladari,53005401,53005600,NULL
289,3,Bagmati,DCS Office,Kuleshor DCS,Karar,73002801,73002900,73008701
290,3,Bagmati,DCS Office,Kuleshor DCS,Myadi,63002801,63002900,63002803
291,3,Bagmati,DCS Office,Kuleshor DCS,Jyaladari,53005601,53005800,NULL
292,3,Bagmati,DCS Office,Kirtipur DCs,Karar,73002901,73003000,73008701
293,3,Bagmati,DCS Office,Kirtipur DCs,Myadi,63002901,63003000,NULL
294,3,Bagmati,DCS Office,Kirtipur DCs,Jyaladari,53005801,53006000,NULL
295,3,Bagmati,DCS Office,Balaju DCS,Karar,73003001,73003100,73008701
296,3,Bagmati,DCS Office,Balaju DCS,Myadi,63003001,63003100,NULL
297,3,Bagmati,DCS Office,Balaju DCS,Jyaladari,53006001,53006200,NULL
298,3,Bagmati,DCS Office,Maharajgunj DCS,Karar,73003101,73003200,73008701
299,3,Bagmati,DCS Office,Maharajgunj DCS,Myadi,63003101,63003200,NULL
300,3,Bagmati,DCS Office,Maharajgunj DCS,Jyaladari,53006201,53006400,NULL
301,3,Bagmati,DCS Office,Budhnilkanth SDC,Karar,73003201,73003300,73008701
302,3,Bagmati,DCS Office,Budhnilkanth SDC,Myadi,63003201,63003300,NULL
303,3,Bagmati,DCS Office,Budhnilkanth SDC,Jyaladari,53006401,53006600,NULL
304,3,Bagmati,DCS Office,Jorpati DCS,Karar,73003301,73003400,73008701
305,3,Bagmati,DCS Office,Jorpati DCS,Myadi,63003301,63003400,NULL
306,3,Bagmati,DCS Office,Jorpati DCS,Jyaladari,53006601,53006800,53006610
307,3,Bagmati,DCS Office,Sakhu SDC,Karar,73003401,73003500,73008701
308,3,Bagmati,DCS Office,Sakhu SDC,Myadi,63003401,63003500,NULL
309,3,Bagmati,DCS Office,Sakhu SDC,Jyaladari,53006801,53007000,NULL
310,3,Bagmati,DCS Office,Baneshor DCS,Karar,73003501,73003600,73008701
311,3,Bagmati,DCS Office,Baneshor DCS,Myadi,63003501,63003600,NULL
312,3,Bagmati,DCS Office,Baneshor DCS,Jyaladari,53007001,53007200,53007019
313,3,Bagmati,DCS Office,Chabahil SDC,Karar,73003601,73003700,73008701
314,3,Bagmati,DCS Office,Chabahil SDC,Myadi,63003601,63003700,NULL
315,3,Bagmati,DCS Office,Chabahil SDC,Jyaladari,53007201,53007400,53007021
316,3,Bagmati,DCS Office,Hetauda Division Office,Karar,73008001,73008100,73008701
317,3,Bagmati,DCS Office,Hetauda Division Office,Myadi,63008001,63008100,NULL
318,3,Bagmati,DCS Office,Hetauda Division Office,Jyaladari,53008001,53008200,53008005
319,3,Bagmati,DCS Office,Sindhuli DCS (Hetauda Division),Karar,73008101,73008200,73008701
320,3,Bagmati,DCS Office,Sindhuli DCS (Hetauda Division),Myadi,63008101,63008200,NULL
321,3,Bagmati,DCS Office,Sindhuli DCS (Hetauda Division),Jyaladari,53008201,53008400,NULL
322,3,Bagmati,DCS Office,Bhiman SDC (Hetauda Division),Karar,73008201,73008300,73008701
323,3,Bagmati,DCS Office,Bhiman SDC (Hetauda Division),Myadi,63008201,63008300,NULL
324,3,Bagmati,DCS Office,Bhiman SDC (Hetauda Division),Jyaladari,53008401,53008600,NULL
325,3,Bagmati,DCS Office,Bharatpur DCS (Hetauda Division),Karar,73008301,73008400,73008701
326,3,Bagmati,DCS Office,Bharatpur DCS (Hetauda Division),Myadi,63008301,63008400,NULL
327,3,Bagmati,DCS Office,Bharatpur DCS (Hetauda Division),Jyaladari,53008601,53008800,53008621
